true coef A,predicted coef A
-6.615317800149675e-05,-3.4496177627926e-05
-4.672043769254061e-05,-3.751957685982551e-05
-5.666555746465207e-05,-4.330248316436937e-05
-6.542018466083883e-05,-4.902787774524766e-05
-6.848284377175094e-05,-4.198303571805882e-05
-4.824871833445748e-05,-4.030356708940216e-05
-6.193366938570762e-05,-4.92713662515693e-05
-4.01486754989528e-05,-4.456889563731444e-05
-4.024514433233784e-05,-4.119794592688216e-05
-4.371030696942069e-05,-4.343631217609963e-05
-5.625039974443057e-05,-5.5767399465327526e-05
-4.997207623236995e-05,-5.0224762178839796e-05
-6.187494309186584e-05,-4.778554442382348e-05
-5.322056906752337e-05,-5.454967981735779e-05
-4.843102275251772e-05,-4.786831202995124e-05
-4.048910155889081e-05,-5.965979800478433e-05
-4.305389878363679e-05,-4.909878044524144e-05
-4.885072895304473e-05,-5.4334305135671876e-05
-4.215145838482742e-05,-5.7569028223074706e-05
-4.729313727021435e-05,-5.062879108075428e-05
-3.461656239086653e-05,-5.0204629147135054e-05
-3.751957685982554e-05,-4.6720437692540564e-05
-5.515413524052879e-05,-4.856361121066501e-05
-4.246179636389655e-05,-6.001803864442998e-05
-4.93092176072126e-05,-5.466226654136857e-05
-4.923177274279279e-05,-5.0816436576758587e-05
-3.4496177627926e-05,-6.615317800149672e-05
-3.001422554430316e-05,-4.733444195560962e-05
-4.247059107566626e-05,-5.81436101997295e-05
-4.460044331986998e-05,-4.373905551560525e-05
-5.10577053101983e-05,-4.646480019490626e-05
-6.083705027244997e-05,-5.4521692645590835e-05
-4.870273452490883e-05,-5.079951615483408e-05
-4.874480130813061e-05,-4.8045428353377256e-05
-5.084578486144437e-05,-4.8726430602574994e-05
-4.386040098372325e-05,-4.4109110349258364e-05
-5.62800622096808e-05,-5.9730836177258754e-05
-4.450792516708782e-05,-4.7640682629322925e-05
-5.767643857190352e-05,-5.577717005639455e-05
-4.892214672838165e-05,-5.161520439918344e-05
-5.299171652914786e-05,-5.534041295601242e-05
-5.275848990686957e-05,-5.2377980717337855e-05
-5.161399202704211e-05,-4.8107529700806e-05
