true coef A,predicted coef A
-4.307275015544434e-05,-5.2740037215063205e-05
-4.351684730727598e-05,-4.9193819031351076e-05
-4.82610024419143e-05,-4.532330965029849e-05
-4.406889554038158e-05,-5.2942719344970196e-05
-4.844198401776235e-05,-4.51256426260966e-05
-3.479929610500823e-05,-4.0020793558374584e-05
-3.271959474618515e-05,-3.484621233979669e-05
-5.546364383123107e-05,-4.5778498739791e-05
-4.350011236767217e-05,-5.451198059975327e-05
-4.623905384225282e-05,-4.981916902432399e-05
-4.977489329379623e-05,-4.3131822287171436e-05
-3.499208231195337e-05,-5.880722989237695e-05
-3.022573054348444e-05,-4.299382070961334e-05
-4.462882639185181e-05,-6.514098243294259e-05
-6.714578560387175e-05,-3.9418281613811e-05
-7.055943584217165e-05,-4.776891873475346e-05
-4.536461934413665e-05,-4.2111914244012314e-05
-4.852609622838235e-05,-3.903687446833769e-05
-3.97085225041449e-05,-3.822808925536922e-05
-4.24153629418922e-05,-4.298580152818152e-05
-4.17675046617977e-05,-4.877408896570131e-05
-3.941309322386147e-05,-3.8768566794538975e-05
-5.139381439419219e-05,-4.327455299334633e-05
-3.581401438726426e-05,-4.0543629074915147e-05
-4.094029442823968e-05,-4.488688755836666e-05
-5.92493758920953e-05,-5.985550661810285e-05
-3.757757522641096e-05,-4.42999877576159e-05
-5.841433645115224e-05,-5.592493334892542e-05
-4.117114412310451e-05,-4.104777573330983e-05
-4.421676259877174e-05,-4.460020408678749e-05
-4.455197786516497e-05,-4.286467234746317e-05
-5.211498553379311e-05,-5.306510292522326e-05
-6.258530843360315e-05,-5.165325840914876e-05
-5.086990458430256e-05,-5.072479742155271e-05
-4.98894295292733e-05,-4.642321836124517e-05
-5.332597460153557e-05,-5.266897156723794e-05
-4.389621721644745e-05,-4.778061952722745e-05
-5.635416063982501e-05,-6.15093685146884e-05
-4.706247924507226e-05,-5.0910724774206965e-05
-5.804888871132474e-05,-5.589996215945747e-05
-5.004379979328676e-05,-5.072688031412363e-05
-5.393538793955956e-05,-5.383248934984783e-05
-5.130264973296165e-05,-5.5166195955042116e-05
-5.323768043374022e-05,-5.150179428588499e-05
