true I nm,predicted I nm
536.978,538.9515249999997
542.835,539.0439999999999
542.835,542.5508999999995
542.835,542.8349999999995
539.047,540.4929749999998
542.835,542.6455999999996
542.835,540.8462999999997
542.835,542.4561999999995
536.978,537.3916749999996
542.835,540.6568999999997
539.047,537.4951249999998
539.047,539.2869750000001
539.047,542.8349999999995
536.978,535.7273750000002
535.253,538.585925
535.253,537.9679250000002
535.253,536.0464999999999
535.943,536.357
535.943,536.09825
535.253,535.5462500000002
533.526,536.7364000000001
535.253,535.3910000000003
535.253,535.6323000000002
535.253,536.0810000000001
535.253,536.6675
538.013,536.6330000000002
538.013,536.2707500000002
538.013,534.8556000000001
