true coef A,predicted coef A
-6.714578560387175e-05,-5.612178091772697e-05
-7.055943584217165e-05,-5.949957083270838e-05
-4.536461934413665e-05,-4.148451829561291e-05
-4.852609622838235e-05,-4.428243603249533e-05
-3.97085225041449e-05,-4.047357889802299e-05
-4.24153629418922e-05,-4.310117085015047e-05
-4.17675046617977e-05,-4.544179183594895e-05
-3.941309322386147e-05,-3.6495553307718384e-05
-5.139381439419219e-05,-4.5253079633192674e-05
-3.581401438726426e-05,-3.941074049133062e-05
-4.094029442823968e-05,-4.267308689525491e-05
-5.92493758920953e-05,-6.756608681509631e-05
-3.757757522641096e-05,-4.398883051101653e-05
-5.841433645115224e-05,-5.431593204485243e-05
-4.117114412310451e-05,-4.1974139447342747e-05
-4.421676259877174e-05,-4.981717060166401e-05
-4.455197786516497e-05,-4.213842453541806e-05
-5.211498553379311e-05,-5.689541356152816e-05
-6.258530843360315e-05,-5.6678495733975e-05
-5.086990458430256e-05,-5.052126857905165e-05
-4.98894295292733e-05,-4.670406464882997e-05
-5.332597460153557e-05,-4.843297142863081e-05
-4.389621721644745e-05,-4.650841177151795e-05
-5.635416063982501e-05,-6.235848744748923e-05
-4.706247924507226e-05,-4.959851211426788e-05
-5.804888871132474e-05,-5.750651782700948e-05
-5.004379979328676e-05,-4.916650739457869e-05
-5.393538793955956e-05,-5.1471305707420745e-05
-5.130264973296165e-05,-5.3470869464859195e-05
-5.323768043374022e-05,-4.675361461713731e-05
