true I nm,predicted I nm
535.943,533.7766500000002
535.598,533.6383750000002
538.013,536.0982000000002
533.181,533.3356999999997
535.253,536.3570000000002
538.013,536.1500000000003
535.253,535.6493000000002
535.253,535.1406500000004
532.835,534.4759500000002
535.253,535.5290000000003
535.253,534.6657000000002
533.181,535.6583749999999
535.253,536.0810000000001
533.526,535.2270250000003
535.253,535.3131500000003
532.835,534.5104500000002
535.253,535.4337500000003
535.253,534.3289750000001
535.253,534.7779750000002
536.978,537.6335000000001
538.013,535.943
535.253,534.0268500000001
535.253,537.20225
535.253,535.2875000000003
535.253,535.6670000000003
535.253,535.9598500000002
535.253,535.9858750000001
538.013,535.4945
535.598,536.339675
538.013,535.6411250000002
