true coef A,predicted coef A
-4.460044331986998e-05,-4.41536503239739e-05
-5.10577053101983e-05,-5.4171121200030786e-05
-6.083705027244997e-05,-5.347038444976065e-05
-4.870273452490883e-05,-5.0134829301659494e-05
-4.874480130813061e-05,-4.921073211635751e-05
-5.084578486144437e-05,-4.92648835736666e-05
-4.386040098372325e-05,-4.7027429921545605e-05
-5.62800622096808e-05,-6.012591263982706e-05
-4.450792516708782e-05,-4.8959706405288034e-05
-5.767643857190352e-05,-5.3939558677050626e-05
-4.892214672838165e-05,-4.922572333166406e-05
-5.299171652914786e-05,-5.386502835650222e-05
-5.275848990686957e-05,-5.227802673598058e-05
-5.161399202704211e-05,-4.577405515900862e-05
