true I nm,predicted I nm
538.013,540.1123999999998
537.323,536.3039
538.702,539.7435249999997
537.323,539.0622999999999
533.872,539.2180999999999
533.872,533.6203999999996
540.081,540.3293999999999
539.047,536.9598
536.978,535.8912499999999
542.835,535.4496
542.835,540.9400499999997
542.835,540.0433749999996
539.047,540.1311499999999
542.835,538.72725
539.047,540.6564499999997
542.835,540.5192
536.978,537.7693249999999
535.253,535.7360000000003
533.181,536.3218000000002
535.253,536.4260000000002
533.526,535.3219500000002
535.253,535.3559000000002
532.835,536.6989500000002
535.598,536.6745749999998
538.013,535.9602000000002
533.181,534.4398999999997
535.253,536.8312500000002
538.013,536.1672500000001
535.253,534.8115499999999
535.253,535.0887500000002
532.835,534.5106250000001
535.253,536.8214000000004
535.253,535.6059750000001
535.253,536.538025
538.013,535.5031250000002
535.598,536.8399250000001
538.013,535.8048500000002
535.253,536.4836500000002
535.253,535.226725
536.978,537.6248750000002
538.013,536.0033750000001
535.253,533.8454250000001
535.253,536.93485
535.253,535.2702500000003
535.253,535.5980000000003
