true coef A,predicted coef A
-4.50737836435676e-05,-4.209480625593663e-05
-6.742662650629448e-05,-4.5293138576294104e-05
-6.065859316701173e-05,-4.802074170521631e-05
-4.459622070527717e-05,-4.736155063504926e-05
-4.023700186227306e-05,-6.054491822941889e-05
-4.747798553726603e-05,-5.660447833062541e-05
-4.623905384225282e-05,-5.09168505448026e-05
-3.022573054348444e-05,-4.3936673919863105e-05
-4.462882639185181e-05,-6.386643979043747e-05
-4.351684730727598e-05,-4.6297523814653925e-05
-4.82610024419143e-05,-4.576238907843695e-05
-4.406889554038158e-05,-5.074753074769968e-05
-4.844198401776235e-05,-5.2471857577939833e-05
-3.479929610500823e-05,-3.955978971567179e-05
-3.271959474618515e-05,-3.446673263894381e-05
-5.546364383123107e-05,-4.5294397801227306e-05
-4.350011236767217e-05,-6.211895575940577e-05
-3.581401438726426e-05,-3.9708738332040716e-05
-5.92493758920953e-05,-6.0733417230285345e-05
-3.757757522641096e-05,-4.699227266335521e-05
-5.841433645115224e-05,-5.568913826551891e-05
-4.117114412310451e-05,-4.4365849088548474e-05
-4.421676259877174e-05,-4.479063445119355e-05
-7.055943584217165e-05,-5.0172166130781095e-05
-4.536461934413665e-05,-4.3676603418694785e-05
-4.852609622838235e-05,-3.636881999673461e-05
-3.97085225041449e-05,-3.873197677861428e-05
-4.24153629418922e-05,-4.3015629108442004e-05
-4.17675046617977e-05,-4.894155837443645e-05
-3.941309322386147e-05,-3.7891307561331865e-05
-5.139381439419219e-05,-4.51996910298332e-05
-4.455197786516497e-05,-4.2476905471209396e-05
-5.804888871132474e-05,-5.64369544478869e-05
-5.004379979328676e-05,-5.038256802343048e-05
-5.393538793955956e-05,-5.33265214264706e-05
-5.130264973296165e-05,-5.361261798153223e-05
-5.323768043374022e-05,-4.660312784434636e-05
-5.211498553379311e-05,-5.331653675633004e-05
-6.258530843360315e-05,-5.180247384196685e-05
-5.086990458430256e-05,-5.052875975104127e-05
-4.98894295292733e-05,-4.6167993680218966e-05
-5.332597460153557e-05,-5.1989826286444655e-05
-4.389621721644745e-05,-4.68334703629722e-05
-5.635416063982501e-05,-6.05468390888306e-05
-4.706247924507226e-05,-5.029786779722303e-05
