true I nm,predicted I nm
538.013,535.4686249999999
535.253,535.8389500000002
535.253,535.2702500000003
535.598,535.9430000000003
535.253,535.2614750000001
536.978,535.7532499999999
535.253,535.4340000000002
536.978,537.4868749999999
535.943,534.6568250000003
538.013,535.9257500000001
535.253,535.9861250000001
535.253,534.7951750000004
536.978,536.5289500000002
533.526,535.2874500000003
535.253,538.66765
535.598,535.1914749999999
538.013,535.4082500000003
539.047,536.2786750000001
533.181,535.9429499999999
535.253,534.9076500000003
535.253,535.3910000000003
538.702,537.8573249999997
539.047,536.0544500000001
535.253,536.4260000000002
535.253,537.362825
533.181,537.2016499999999
539.047,538.57945
535.943,534.1649000000003
535.253,536.0810000000001
535.253,540.1226999999998
535.253,534.96665
536.978,540.5021499999999
540.081,537.7273749999999
535.253,537.0717750000003
537.323,540.4144499999996
542.835,535.7701000000002
542.835,539.8557999999998
538.013,536.0033750000002
535.253,536.2613000000002
535.253,535.4856500000003
542.835,536.8216250000002
542.835,538.4929499999996
535.253,537.5974000000002
532.835,536.2515500000002
536.978,541.0253499999998
542.835,538.158575
539.047,540.4839
535.253,538.0117250000001
541.114,535.6670000000003
533.181,538.5028499999997
538.702,535.7082250000002
535.253,536.7184000000003
535.253,538.3141000000003
538.013,535.4499000000001
539.047,536.2442500000002
538.013,537.0545250000002
533.181,534.4487499999998
532.835,536.9607499999998
536.978,534.4661999999997
537.323,536.2598499999998
535.253,535.1491000000003
535.253,537.1070750000001
536.978,536.8391749999998
535.253,534.8036000000001
532.835,534.3897
533.872,538.3042999999997
536.978,535.216925
537.323,536.8459249999999
537.323,536.434625
539.736,535.5802999999996
533.872,535.1731249999998
