true I nm,predicted I nm
536.288,536.1842750000003
533.181,551.0089
539.736,536.5775000000002
535.943,537.1411250000002
536.288,540.9057250000003
532.835,533.8283000000002
535.253,534.3461500000002
534.908,533.8715000000002
546.618,536.7011000000003
534.217,552.3506000000001
539.392,535.5113750000003
534.217,534.4151000000004
533.526,534.7264000000002
534.217,535.2094500000001
534.217,536.4773749999998
537.668,539.4594750000002
538.013,620.1225499999998
541.114,539.75125
536.633,536.5120000000003
536.633,536.4000750000001
538.013,536.0029000000002
534.562,535.5112750000002
540.77,538.7186500000003
699.463,536.3105500000003
533.526,533.8540999999998
534.562,539.7704500000004
538.013,539.0983500000002
543.18,541.0957250000001
543.524,543.8668
533.872,558.8484000000002
535.253,534.7515500000001
546.618,542.9729000000002
538.013,538.1499000000001
