true I nm,predicted I nm
536.288,536.3912250000002
533.181,533.65545
539.736,537.938425
535.943,536.8827750000004
536.288,535.7330750000002
532.835,533.5260750000002
535.253,534.7862250000003
534.908,533.6814750000002
546.618,536.2877250000004
534.217,535.2483250000002
539.392,535.8738000000003
534.217,534.4067250000004
533.526,534.9940000000004
534.217,535.0453750000001
534.217,537.0119749999999
537.668,540.4769500000003
538.013,540.3265500000001
541.114,539.6649750000003
536.633,536.6499750000003
536.633,536.426
538.013,536.3911
534.562,535.8392500000002
540.77,538.7445250000003
533.526,533.7678499999996
534.562,539.6325500000003
538.013,539.020825
543.18,541.3718750000002
543.524,544.29695
533.872,534.0614000000003
535.253,535.2092000000001
546.618,542.9729000000001
538.013,537.4258749999998
