true coef A,predicted coef A
-6.175688481010371e-05,-5.215405572426595e-05
-6.5692963182685e-05,-5.387872257925139e-05
-1.619261156395198e-05,-4.1043848182856354e-05
-3.594595218705004e-05,-3.2186416798689746e-05
-4.166389695590882e-05,-4.04723457956278e-05
-6.51987410300978e-05,-4.866343938884779e-05
-6.888667457127273e-05,-6.431071437519421e-05
-5.279929861282003e-05,-3.8214630144375635e-05
-4.563365389208145e-05,-3.569864305842509e-05
-4.848792114812375e-05,-6.076849008347189e-05
-3.749626055752735e-05,-5.597221518567935e-05
-3.67645476617455e-05,-3.7595731197396835e-05
-6.936469976960607e-05,-6.37391489883551e-05
-3.36297671281474e-05,-3.694172130988852e-05
-3.861820631240638e-05,-4.679541894529407e-05
-1.997972051524378e-05,-3.198398180377062e-05
-3.581124016099257e-05,-2.3015704624912318e-05
-3.508486387629145e-05,-2.9967221959217946e-05
-3.527897825988348e-05,-3.4093845777244946e-05
-3.431486305372149e-05,-3.546239608985427e-05
-3.568254456153432e-05,-3.0880076063124924e-05
-3.960438791685916e-05,-3.928453655958093e-05
-3.134800044430894e-05,-2.116062602262703e-05
0.0,-5.2716740933370866e-05
-3.823282079036184e-05,-5.837904770059502e-05
-4.113498075964382e-05,-1.8176514518968223e-05
-2.792847901009398e-05,-3.286465205613778e-05
-2.397184083408009e-05,-3.0132579622109663e-05
-2.61934896859293e-05,-2.49042524211749e-05
-5.496859077497075e-05,-4.828430862782324e-05
-4.797760248275734e-05,-5.623751078254308e-05
-2.317677098018522e-05,-3.220458373284386e-05
-2.81437208477524e-05,-3.35652468471757e-05
