true coef A,predicted coef A
-4.595391002024985e-05,-7.865346920357016e-05
-4.661706290568442e-05,-9.331558465314034e-05
-7.724996961280765e-05,-7.169168418424228e-05
-8.75963497457135e-05,-5.707739438020174e-05
-6.034805867975092e-05,-6.592322366443682e-05
-0.0001007243508412296,-5.9855519557534205e-05
-5.380565254742423e-05,-7.447668698794201e-05
-6.034388732304368e-05,-7.585319384635111e-05
-0.0001185545316091989,-5.642891270733992e-05
-6.328455366601013e-05,-6.572923937786438e-05
-6.980585057213974e-05,-5.7599669562666286e-05
-8.19784656173673e-05,-5.7846112764941944e-05
-5.325762470898222e-05,-6.807129647790639e-05
-8.640294405643875e-05,-8.351712932054659e-05
-6.970376832134446e-05,-7.178220181156446e-05
