true coef A,predicted coef A
-6.175688481010371e-05,-5.213011219846827e-05
-6.5692963182685e-05,-5.684333108911077e-05
-1.619261156395198e-05,-4.439973126473443e-05
-3.594595218705004e-05,-4.210816067108988e-05
-4.166389695590882e-05,-4.198033858568526e-05
-6.51987410300978e-05,-6.138712548775892e-05
-6.888667457127273e-05,-6.55607922898549e-05
-5.279929861282003e-05,-4.640290437537822e-05
-4.21081606710899e-05,-3.1501450546852975e-05
-4.563365389208145e-05,-3.720642201231636e-05
-4.848792114812375e-05,-6.670269074408834e-05
-3.749626055752735e-05,-6.175688481010371e-05
-3.67645476617455e-05,-3.744597879633407e-05
-6.936469976960607e-05,-5.715739135296207e-05
-3.36297671281474e-05,-3.7967153983076084e-05
