true coef A,predicted coef A
-3.861820631240638e-05,-4.361191057083361e-05
-1.997972051524378e-05,-3.2876629747107355e-05
-4.211076814032349e-05,-3.5682544561534315e-05
-3.581124016099257e-05,-2.5184714889156226e-05
-3.508486387629145e-05,-2.7726364115858143e-05
-3.527897825988348e-05,-3.488208036110488e-05
-3.431486305372149e-05,-3.4178000339284445e-05
-3.568254456153432e-05,-4.2110768140323465e-05
-3.960438791685916e-05,-4.225058674307467e-05
-3.134800044430894e-05,-2.057853856306922e-05
-3.823282079036184e-05,-4.28853044103257e-05
-4.113498075964382e-05,-3.842282404848803e-05
-2.792847901009398e-05,-3.42584145700053e-05
-2.397184083408009e-05,-2.9200153726364563e-05
-2.61934896859293e-05,-2.5365881982961476e-05
-5.496859077497075e-05,-4.2439463198117725e-05
-4.797760248275734e-05,-4.267803440386121e-05
-2.317677098018522e-05,-3.196413997096727e-05
-2.81437208477524e-05,-3.4242852399965474e-05
