true coef A,predicted coef A
-5.065862771897295e-05,-5.2517380728215724e-05
-5.128985090074741e-05,-5.280773429003604e-05
-5.1749793813116e-05,-4.469814024192122e-05
-7.040417820911053e-05,-5.4226502500352844e-05
-3.266275911869279e-05,-5.430994070918253e-05
-4.023700186227306e-05,-5.6397998959815044e-05
-6.003729466091912e-05,-4.254555603181942e-05
-6.243611194151939e-05,-5.860647435224261e-05
-4.747798553726603e-05,-3.761966952392202e-05
-4.50737836435676e-05,-5.485399575866044e-05
-5.087828624484443e-05,-5.497003805648331e-05
-4.059381576705956e-05,-5.958566553891023e-05
-6.742662650629448e-05,-5.380499685999355e-05
-6.065859316701173e-05,-7.040417820911057e-05
-4.459622070527717e-05,-5.243666113519288e-05
