true coef A,predicted coef A
-4.455197786516497e-05,-4.45294696221724e-05
-5.211498553379311e-05,-5.55232921803104e-05
-6.258530843360315e-05,-5.406702365130119e-05
-5.086990458430256e-05,-5.140525949024724e-05
-4.98894295292733e-05,-5.09951286810986e-05
-5.332597460153557e-05,-5.0889215456185154e-05
-4.389621721644745e-05,-4.924333698394001e-05
-5.635416063982501e-05,-6.145120350303355e-05
-4.706247924507226e-05,-5.078485564159273e-05
-5.804888871132474e-05,-5.405813854027223e-05
-5.004379979328676e-05,-4.9500891815446067e-05
-5.393538793955956e-05,-5.248324155417521e-05
-5.130264973296165e-05,-5.345275864813083e-05
-5.323768043374022e-05,-4.716683846320026e-05
